Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2;Ano
ADMINISTRAÇÃO;99;1747;5.7;122;1795;6.8;2005
ARTE E MÍDIA;6;538;1.1;16;559;2.9;2005
CIÊNCIA DA COMPUTAÇÃO;141;1511;9.3;157;1515;10.4;2005
CIÊNCIAS;69;1173;5.9;79;1108;7.1;2005
CIÊNCIAS CONTÁBEIS;4;136;2.9;29;362;8;2005
CIÊNCIAS ECONÔMICAS;120;1097;10.9;100;1089;9.2;2005
CIÊNCIAS SOCIAIS;46;765;6;52;714;7.3;2005
DESENHO INDUSTRIAL;23;785;2.9;31;807;3.8;2005
DESIGN;6;62;9.7;6;124;4.8;2005
DIREITO;6;3466;0.2;22;3330;0.7;2005
ENFERMAGEM;1;213;0.5;3;397;0.8;2005
ENGENHARIA AGRÍCOLA;109;506;21.5;65;401;16.2;2005
ENGENHARIA CIVIL;302;1720;17.6;264;1730;15.3;2005
ENGENHARIA DE MATERIAIS;128;878;14.6;141;889;15.9;2005
ENGENHARIA DE MINAS;79;395;20;44;329;13.4;2005
ENGENHARIA DE PRODUÇÃO;0;0;0;29;118;24.6;2005
ENGENHARIA ELÉTRICA;434;3294;13.2;352;3055;11.5;2005
ENGENHARIA FLORESTAL;26;435;6;32;391;8.2;2005
ENGENHARIA MECÂNICA;285;1292;22.1;226;1267;17.8;2005
ENGENHARIA QUÍMICA;74;870;8.5;65;693;9.4;2005
FÍSICA (BAC);29;177;16.4;30;150;20;2005
GEOGRAFIA (LICENCIATURA);48;1350;3.6;29;1262;2.3;2005
HISTÓRIA;120;2701;4.4;102;2490;4.1;2005
LETRAS;145;2652;5.5;117;2357;5;2005
MATEMÁTICA;75;616;12.2;61;487;12.5;2005
MEDICINA;5;2162;0.2;7;2109;0.3;2005
MEDICINA VETERINÁRIA;96;1924;5;100;1930;5.2;2005
METEOROLOGIA;58;227;25.6;36;195;18.5;2005
PEDAGOGIA;63;2162;2.9;118;2087;5.7;2005
TECNOLOGIA QUÍMICA (COUROS E TANANTES);0;0;0;0;2;0;2005
