Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2;Ano
ADMINISTRAÇÃO;93;1926;4.8;81;1863;4.3;2006
ARTE E MÍDIA;16;483;3.3;38;551;6.9;2006
CIÊNCIA DA COMPUTAÇÃO;113;1407;8;130;1440;9;2006
CIÊNCIAS;79;1169;6.8;101;1196;8.4;2006
CIÊNCIAS BIOLÓGICAS;0;0;0;76;403;18.9;2006
CIÊNCIAS CONTÁBEIS;5;332;1.5;99;1539;6.4;2006
CIÊNCIAS ECONÔMICAS;109;1176;9.3;82;1083;7.6;2006
CIÊNCIAS SOCIAIS;42;744;5.6;37;810;4.6;2006
DESENHO INDUSTRIAL;63;736;8.6;31;625;5;2006
DESIGN;20;185;10.8;10;196;5.1;2006
DIREITO;14;3780;0.4;5;3670;0.1;2006
ENFERMAGEM;3;500;0.6;4;734;0.5;2006
ENGENHARIA AGRÍCOLA;112;466;24;71;414;17.1;2006
ENGENHARIA CIVIL;291;1649;17.6;254;1726;14.7;2006
ENGENHARIA DE MATERIAIS;147;853;17.2;150;806;18.6;2006
ENGENHARIA DE MINAS;82;421;19.5;64;349;18.3;2006
ENGENHARIA DE PRODUÇÃO;26;251;10.4;27;225;12;2006
ENGENHARIA ELÉTRICA;421;3050;13.8;352;2983;11.8;2006
ENGENHARIA FLORESTAL;32;418;7.7;61;472;12.9;2006
ENGENHARIA MECÂNICA;265;1260;21;250;1277;19.6;2006
ENGENHARIA QUÍMICA;55;742;7.4;67;665;10.1;2006
FÍSICA;34;153;22.2;59;242;24.4;2006
GEOGRAFIA;21;1193;1.8;44;1171;3.8;2006
HISTÓRIA;77;2555;3;133;2468;5.4;2006
LETRAS;76;2480;3.1;95;2424;3.9;2006
MATEMÁTICA;81;498;16.3;94;538;17.5;2006
MEDICINA;7;2195;0.3;11;2195;0.5;2006
MEDICINA VETERINÁRIA;64;1932;3.3;132;1780;7.4;2006
METEOROLOGIA;59;199;29.6;36;186;19.4;2006
PEDAGOGIA;50;2083;2.4;146;2261;6.5;2006
QUÍMICA;0;0;0;50;208;24;2006
